Loan Type,Encoded Value
"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",184
"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",700
"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",100
"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",760
"Mortgage Loan, Personal Loan, and Not Specified",731
"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",909
"Not Specified, Credit-Builder Loan, Payday Loan, and Credit-Builder Loan",571
"Debt Consolidation Loan, Home Equity Loan, and Personal Loan",962
"Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",580
"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",725
"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan",361
"Not Specified, Payday Loan, Auto Loan, and Home Equity Loan",587
"Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan",785
"Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan",396
"Payday Loan, and Not Specified",936
"Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan",769
"Home Equity Loan, and Student Loan",122
"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",725
Auto Loan,741
"Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",404
"Student Loan, Auto Loan, Auto Loan, and Payday Loan",397
Home Equity Loan,830
"Payday Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",934
"Student Loan, and Auto Loan",626
Student Loan,534
"Auto Loan, Auto Loan, Auto Loan, and Personal Loan",780
"Mortgage Loan, and Mortgage Loan",410
"Personal Loan, Payday Loan, and Auto Loan",370
"Mortgage Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, and Student Loan",681
"Mortgage Loan, Auto Loan, Not Specified, Student Loan, and Payday Loan",672
"Student Loan, Mortgage Loan, Not Specified, and Not Specified",610
"Home Equity Loan, Credit-Builder Loan, Student Loan, and Personal Loan",371
"Student Loan, Not Specified, Not Specified, Credit-Builder Loan, Student Loan, Mortgage Loan, Not Specified, and Student Loan",806
"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",648
"Personal Loan, and Payday Loan",148
"Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",225
"Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan",769
"Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan",779
"Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan",869
"Auto Loan, Auto Loan, Student Loan, and Home Equity Loan",861
"Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",319
"Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan",273
"Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",924
"Student Loan, Debt Consolidation Loan, and Auto Loan",901
"Mortgage Loan, Student Loan, and Mortgage Loan",278
"Auto Loan, Auto Loan, Credit-Builder Loan, Not Specified, Not Specified, and Not Specified",405
"Auto Loan, and Auto Loan",192
"Payday Loan, and Debt Consolidation Loan",784
"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Not Specified",556
"Mortgage Loan, Home Equity Loan, Personal Loan, Payday Loan, Not Specified, Student Loan, Payday Loan, and Payday Loan",767
"Payday Loan, Payday Loan, Not Specified, Student Loan, Mortgage Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",931
"Personal Loan, Student Loan, Payday Loan, Personal Loan, Not Specified, Not Specified, Mortgage Loan, Not Specified, and Home Equity Loan",659
"Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, and Not Specified",900
"Debt Consolidation Loan, and Auto Loan",752
"Not Specified, Student Loan, Auto Loan, Payday Loan, and Auto Loan",883
"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Debt Consolidation Loan",552
"Home Equity Loan, Debt Consolidation Loan, Personal Loan, and Payday Loan",436
"Not Specified, Payday Loan, Payday Loan, and Debt Consolidation Loan",290
"Payday Loan, Not Specified, and Mortgage Loan",625
"Mortgage Loan, Mortgage Loan, Not Specified, Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",956
"Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Personal Loan",185
"Auto Loan, and Credit-Builder Loan",552
"Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Personal Loan, Not Specified, and Payday Loan",272
"Personal Loan, Home Equity Loan, and Debt Consolidation Loan",191
Personal Loan,976
"Not Specified, Home Equity Loan, and Home Equity Loan",717
"Student Loan, Home Equity Loan, Not Specified, and Credit-Builder Loan",157
"Credit-Builder Loan, Auto Loan, Student Loan, Student Loan, Personal Loan, Personal Loan, and Auto Loan",912
"Student Loan, and Not Specified",453
"Not Specified, Not Specified, Not Specified, Mortgage Loan, Student Loan, and Auto Loan",341
"Home Equity Loan, Auto Loan, and Home Equity Loan",335
"Mortgage Loan, Payday Loan, Auto Loan, Not Specified, Credit-Builder Loan, and Home Equity Loan",946
"Home Equity Loan, and Not Specified",552
"Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Student Loan, Personal Loan, Not Specified, and Mortgage Loan",681
Payday Loan,942
"Debt Consolidation Loan, Home Equity Loan, and Student Loan",537
"Credit-Builder Loan, Student Loan, Mortgage Loan, and Mortgage Loan",723
"Auto Loan, Student Loan, and Student Loan",786
"Personal Loan, Payday Loan, and Personal Loan",745
"Debt Consolidation Loan, and Home Equity Loan",427
"Not Specified, Student Loan, and Not Specified",519
"Personal Loan, Payday Loan, Student Loan, Not Specified, and Not Specified",477
"Student Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Home Equity Loan, and Mortgage Loan",556
"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, Mortgage Loan, Student Loan, and Student Loan",799
"Home Equity Loan, Debt Consolidation Loan, Auto Loan, Debt Consolidation Loan, Payday Loan, Student Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",854
"Mortgage Loan, and Personal Loan",122
"Mortgage Loan, Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",980
"Mortgage Loan, and Student Loan",911
"Debt Consolidation Loan, Home Equity Loan, and Not Specified",567
"Student Loan, and Mortgage Loan",882
"Credit-Builder Loan, Home Equity Loan, Personal Loan, Auto Loan, Personal Loan, Auto Loan, and Credit-Builder Loan",164
"Home Equity Loan, Personal Loan, Credit-Builder Loan, and Credit-Builder Loan",512
"Not Specified, Credit-Builder Loan, Not Specified, Credit-Builder Loan, Auto Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",394
"Home Equity Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",325
"Personal Loan, Personal Loan, Personal Loan, and Student Loan",479
"Personal Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, Personal Loan, and Personal Loan",519
"Home Equity Loan, Personal Loan, and Home Equity Loan",602
"Payday Loan, and Credit-Builder Loan",389
"Payday Loan, Personal Loan, Payday Loan, and Mortgage Loan",926
"Credit-Builder Loan, and Personal Loan",124
"Student Loan, Credit-Builder Loan, and Not Specified",266
"Not Specified, Payday Loan, Home Equity Loan, Auto Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, and Personal Loan",858
"Payday Loan, Home Equity Loan, Not Specified, and Credit-Builder Loan",421
"Debt Consolidation Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, and Credit-Builder Loan",337
"Personal Loan, Auto Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, and Credit-Builder Loan",979
"Auto Loan, Payday Loan, Mortgage Loan, Student Loan, and Mortgage Loan",900
"Student Loan, Home Equity Loan, and Mortgage Loan",606
"Auto Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, and Mortgage Loan",870
"Personal Loan, Student Loan, Student Loan, and Not Specified",263
"Auto Loan, Personal Loan, and Payday Loan",144
"Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Credit-Builder Loan",783
"Payday Loan, Auto Loan, Mortgage Loan, and Mortgage Loan",650
"Debt Consolidation Loan, Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, Student Loan, Payday Loan, Debt Consolidation Loan, and Home Equity Loan",233
"Credit-Builder Loan, Not Specified, Debt Consolidation Loan, and Credit-Builder Loan",412
"Mortgage Loan, and Home Equity Loan",263
"Personal Loan, and Mortgage Loan",437
"Credit-Builder Loan, Home Equity Loan, and Home Equity Loan",147
"Credit-Builder Loan, Payday Loan, Home Equity Loan, and Credit-Builder Loan",734
"Credit-Builder Loan, Auto Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",553
"Home Equity Loan, Student Loan, and Debt Consolidation Loan",562
"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Auto Loan, and Payday Loan",324
"Home Equity Loan, and Mortgage Loan",185
"Personal Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, and Not Specified",808
"Payday Loan, Payday Loan, Not Specified, Credit-Builder Loan, Student Loan, Payday Loan, and Personal Loan",951
"Debt Consolidation Loan, and Debt Consolidation Loan",721
"Personal Loan, Credit-Builder Loan, Not Specified, Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",830
"Student Loan, Personal Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Credit-Builder Loan",240
"Not Specified, Credit-Builder Loan, and Personal Loan",647
"Payday Loan, Mortgage Loan, Payday Loan, Student Loan, and Not Specified",816
"Student Loan, Personal Loan, Not Specified, Not Specified, Debt Consolidation Loan, Debt Consolidation Loan, and Auto Loan",813
"Home Equity Loan, Mortgage Loan, Payday Loan, Personal Loan, Mortgage Loan, and Student Loan",860
"Personal Loan, Personal Loan, and Debt Consolidation Loan",135
"Not Specified, and Mortgage Loan",392
"Payday Loan, Home Equity Loan, and Personal Loan",876
"Student Loan, and Credit-Builder Loan",899
"Student Loan, and Student Loan",966
"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",163
"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",999
"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",318
"Not Specified, Mortgage Loan, and Auto Loan",595
"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",922
"Mortgage Loan, Home Equity Loan, and Auto Loan",178
"Payday Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, and Auto Loan",298
"Mortgage Loan, Student Loan, Payday Loan, Debt Consolidation Loan, and Auto Loan",379
"Mortgage Loan, Student Loan, and Payday Loan",585
"Home Equity Loan, Mortgage Loan, Payday Loan, and Home Equity Loan",654
"Credit-Builder Loan, Personal Loan, and Mortgage Loan",881
"Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan",260
"Debt Consolidation Loan, Student Loan, and Student Loan",850
"Student Loan, Personal Loan, Auto Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Not Specified",845
"Personal Loan, Mortgage Loan, Not Specified, and Payday Loan",761
"Auto Loan, and Student Loan",791
"Mortgage Loan, Payday Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, and Personal Loan",502
"Auto Loan, and Personal Loan",973
"Mortgage Loan, Student Loan, Debt Consolidation Loan, and Student Loan",901
"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, and Student Loan",955
"Home Equity Loan, Mortgage Loan, and Student Loan",393
"Credit-Builder Loan, and Not Specified",368
"Auto Loan, Credit-Builder Loan, Home Equity Loan, Not Specified, Student Loan, Payday Loan, Home Equity Loan, Auto Loan, and Student Loan",849
"Payday Loan, Student Loan, Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Student Loan, and Personal Loan",619
"Student Loan, Debt Consolidation Loan, and Payday Loan",905
"Home Equity Loan, Mortgage Loan, Mortgage Loan, Not Specified, and Student Loan",683
"Auto Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Payday Loan",198
"Not Specified, Payday Loan, Mortgage Loan, Not Specified, Payday Loan, Home Equity Loan, and Debt Consolidation Loan",435
"Credit-Builder Loan, Mortgage Loan, and Auto Loan",512
"Payday Loan, and Auto Loan",659
"Credit-Builder Loan, Auto Loan, Home Equity Loan, Not Specified, Debt Consolidation Loan, and Student Loan",389
"Personal Loan, Not Specified, Personal Loan, Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",882
"Payday Loan, Home Equity Loan, Debt Consolidation Loan, and Student Loan",611
"Not Specified, and Debt Consolidation Loan",440
"Credit-Builder Loan, and Auto Loan",765
"Personal Loan, Mortgage Loan, Not Specified, and Home Equity Loan",111
Mortgage Loan,567
"Mortgage Loan, Not Specified, Credit-Builder Loan, Auto Loan, Payday Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, and Mortgage Loan",391
"Home Equity Loan, and Credit-Builder Loan",882
"Personal Loan, Credit-Builder Loan, Student Loan, Student Loan, Credit-Builder Loan, Student Loan, and Home Equity Loan",446
"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",828
"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",719
"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",541
"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",110
"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",934
"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",691
"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",207
"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",292
"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",245
"Payday Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",496
"Auto Loan, Mortgage Loan, Credit-Builder Loan, and Home Equity Loan",474
"Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Mortgage Loan",295
"Mortgage Loan, Personal Loan, Mortgage Loan, Mortgage Loan, Payday Loan, Home Equity Loan, and Debt Consolidation Loan",398
"Debt Consolidation Loan, Mortgage Loan, Student Loan, Auto Loan, and Payday Loan",140
"Student Loan, Not Specified, Home Equity Loan, Not Specified, Personal Loan, and Personal Loan",919
"Payday Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",819
"Home Equity Loan, Auto Loan, Personal Loan, Auto Loan, Mortgage Loan, Mortgage Loan, Personal Loan, and Home Equity Loan",651
"Student Loan, Student Loan, Mortgage Loan, Payday Loan, Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",237
"Personal Loan, Personal Loan, Auto Loan, Debt Consolidation Loan, Mortgage Loan, Auto Loan, and Personal Loan",836
"Home Equity Loan, Auto Loan, Personal Loan, Personal Loan, Mortgage Loan, Auto Loan, Debt Consolidation Loan, and Personal Loan",166
"Student Loan, Credit-Builder Loan, and Credit-Builder Loan",269
"Auto Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, Auto Loan, and Not Specified",631
"Personal Loan, Mortgage Loan, Student Loan, Personal Loan, Debt Consolidation Loan, Mortgage Loan, and Debt Consolidation Loan",325
"Home Equity Loan, Student Loan, and Credit-Builder Loan",990
"Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, and Home Equity Loan",346
"Not Specified, Not Specified, Home Equity Loan, and Student Loan",974
"Personal Loan, Credit-Builder Loan, Not Specified, and Debt Consolidation Loan",622
"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, and Mortgage Loan",752
"Payday Loan, Debt Consolidation Loan, and Not Specified",669
"Student Loan, Not Specified, Student Loan, Debt Consolidation Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Not Specified",618
"Not Specified, and Not Specified",330
"Payday Loan, Student Loan, Auto Loan, Mortgage Loan, Auto Loan, Payday Loan, Mortgage Loan, and Payday Loan",159
"Not Specified, Payday Loan, Mortgage Loan, Credit-Builder Loan, Personal Loan, Payday Loan, Debt Consolidation Loan, and Payday Loan",567
"Mortgage Loan, Student Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",146
"Payday Loan, Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, and Personal Loan",922
"Student Loan, and Home Equity Loan",839
"Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, and Not Specified",265
"Credit-Builder Loan, Personal Loan, and Home Equity Loan",835
"Credit-Builder Loan, and Credit-Builder Loan",956
"Student Loan, Auto Loan, and Payday Loan",207
"Mortgage Loan, Payday Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Personal Loan, Not Specified, Credit-Builder Loan, and Student Loan",655
"Not Specified, Payday Loan, Not Specified, Home Equity Loan, and Auto Loan",609
"Not Specified, Auto Loan, Home Equity Loan, Payday Loan, Mortgage Loan, Student Loan, Student Loan, Auto Loan, and Auto Loan",467
"Mortgage Loan, Not Specified, Not Specified, Payday Loan, Not Specified, and Student Loan",111
"Student Loan, Home Equity Loan, Personal Loan, Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",686
"Credit-Builder Loan, Student Loan, Credit-Builder Loan, and Home Equity Loan",104
"Mortgage Loan, Student Loan, Mortgage Loan, and Payday Loan",272
"Student Loan, Personal Loan, and Debt Consolidation Loan",604
"Personal Loan, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",310
"Payday Loan, Auto Loan, Mortgage Loan, Auto Loan, Debt Consolidation Loan, Not Specified, Not Specified, Student Loan, and Student Loan",451
"Personal Loan, Payday Loan, Student Loan, and Student Loan",219
"Auto Loan, Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",703
"Not Specified, and Auto Loan",537
"Home Equity Loan, Mortgage Loan, and Mortgage Loan",344
"Home Equity Loan, and Personal Loan",941
"Credit-Builder Loan, and Payday Loan",830
"Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Personal Loan",656
"Not Specified, Home Equity Loan, Auto Loan, and Payday Loan",747
"Mortgage Loan, Credit-Builder Loan, Home Equity Loan, Student Loan, and Auto Loan",833
"Not Specified, Payday Loan, Auto Loan, and Payday Loan",414
"Personal Loan, Auto Loan, Debt Consolidation Loan, and Payday Loan",615
"Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan",418
"Home Equity Loan, Mortgage Loan, Mortgage Loan, Not Specified, Not Specified, and Mortgage Loan",298
"Credit-Builder Loan, Student Loan, Auto Loan, and Personal Loan",103
"Not Specified, Personal Loan, Credit-Builder Loan, Home Equity Loan, Student Loan, Not Specified, Credit-Builder Loan, Personal Loan, and Personal Loan",229
"Debt Consolidation Loan, Mortgage Loan, Not Specified, and Not Specified",734
"Credit-Builder Loan, Home Equity Loan, Personal Loan, Student Loan, Credit-Builder Loan, Personal Loan, Student Loan, Auto Loan, and Debt Consolidation Loan",103
"Personal Loan, Student Loan, Debt Consolidation Loan, and Not Specified",777
"Not Specified, Personal Loan, and Payday Loan",135
"Not Specified, Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, Personal Loan, and Debt Consolidation Loan",479
"Credit-Builder Loan, Credit-Builder Loan, and Auto Loan",953
"Personal Loan, and Home Equity Loan",664
"Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, Personal Loan, and Mortgage Loan",479
"Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, Not Specified, Personal Loan, Payday Loan, and Home Equity Loan",219
"Student Loan, Personal Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Debt Consolidation Loan",264
"Credit-Builder Loan, Student Loan, Not Specified, Personal Loan, Payday Loan, and Payday Loan",783
"Personal Loan, Payday Loan, Payday Loan, Payday Loan, Payday Loan, Credit-Builder Loan, Mortgage Loan, and Personal Loan",501
"Payday Loan, Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, and Payday Loan",734
"Student Loan, Personal Loan, and Auto Loan",293
"Auto Loan, Student Loan, and Not Specified",583
"Personal Loan, Student Loan, Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Personal Loan",565
"Payday Loan, Credit-Builder Loan, Student Loan, and Debt Consolidation Loan",181
"Auto Loan, and Debt Consolidation Loan",567
"Student Loan, Personal Loan, Home Equity Loan, Student Loan, Debt Consolidation Loan, Auto Loan, Student Loan, and Debt Consolidation Loan",544
"Auto Loan, Payday Loan, Student Loan, Mortgage Loan, Payday Loan, Home Equity Loan, and Home Equity Loan",853
"Credit-Builder Loan, and Debt Consolidation Loan",346
"Debt Consolidation Loan, Auto Loan, Payday Loan, and Debt Consolidation Loan",650
"Mortgage Loan, Home Equity Loan, Auto Loan, Not Specified, Personal Loan, Mortgage Loan, and Debt Consolidation Loan",339
"Personal Loan, and Personal Loan",254
"Personal Loan, Student Loan, Debt Consolidation Loan, Mortgage Loan, and Payday Loan",818
"Payday Loan, Credit-Builder Loan, and Student Loan",606
"Personal Loan, Not Specified, and Credit-Builder Loan",467
"Student Loan, Student Loan, Payday Loan, Student Loan, Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, and Mortgage Loan",754
"Not Specified, and Credit-Builder Loan",193
"Mortgage Loan, Personal Loan, and Credit-Builder Loan",965
"Credit-Builder Loan, and Student Loan",731
"Mortgage Loan, and Debt Consolidation Loan",857
"Credit-Builder Loan, Personal Loan, Student Loan, and Mortgage Loan",534
"Debt Consolidation Loan, Credit-Builder Loan, and Mortgage Loan",316
"Debt Consolidation Loan, Payday Loan, Payday Loan, and Personal Loan",779
"Personal Loan, Home Equity Loan, Mortgage Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",725
"Debt Consolidation Loan, Student Loan, Student Loan, and Home Equity Loan",381
"Personal Loan, Auto Loan, and Debt Consolidation Loan",967
"Credit-Builder Loan, Mortgage Loan, Home Equity Loan, Payday Loan, and Not Specified",116
"Personal Loan, Student Loan, Payday Loan, and Student Loan",684
"Credit-Builder Loan, Home Equity Loan, and Payday Loan",160
"Student Loan, Payday Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Credit-Builder Loan, and Student Loan",727
"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Personal Loan, and Payday Loan",750
"Not Specified, Credit-Builder Loan, Student Loan, Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Not Specified",557
"Personal Loan, Not Specified, Personal Loan, Auto Loan, Personal Loan, Payday Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",446
"Payday Loan, Payday Loan, and Auto Loan",934
"Student Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, Credit-Builder Loan, Personal Loan, Home Equity Loan, and Home Equity Loan",653
"Not Specified, Mortgage Loan, and Credit-Builder Loan",714
"Student Loan, Not Specified, and Student Loan",582
"Personal Loan, Credit-Builder Loan, Mortgage Loan, Payday Loan, Student Loan, Mortgage Loan, Home Equity Loan, Auto Loan, and Credit-Builder Loan",805
"Not Specified, Credit-Builder Loan, Home Equity Loan, Not Specified, Credit-Builder Loan, Payday Loan, and Not Specified",283
"Credit-Builder Loan, Mortgage Loan, Auto Loan, Not Specified, and Not Specified",165
